Designator,Footprint,Quantity,Value,LCSC Part #
NODEMCU_32S1,ESP32_NodeMCU,1,~,
"PLANT 1, PLANT 2, PLANT 3, PLANT 4, PLANT 5, PLANT 6",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,6,Conn_01x03_Pin,
