Designator,Mid X,Mid Y,Rotation,Layer
NODEMCU_32S1,147.9,-94.958,0.0,top
PLANT 1,113.025,-82.5,90.0,top
PLANT 2,113.025,-95.0,90.0,top
PLANT 3,113.025,-107.5,90.0,top
PLANT 4,125.525,-82.5,90.0,top
PLANT 5,125.525,-95.0,90.0,top
PLANT 6,125.525,-107.5,90.0,top
